ResponseId,Verbal_Benevolence_1,Verbal_Benevolence_2,Verbal_Benevolence_3,Verbal_Integrity_1,Verbal_Integrity_2,Verbal_Integrity_3,Verbal_Competence_1,Verbal_Competence_2,Verbal_Competence_3,Verbal_Competence_4,Verbal_Usability_1,Verbal_Usability_2,Verbal_Usability_3,Num_Benevolence_1,Num_Benevolence_2,Num_Benevolence_3,Num_Integrity_1,Num_Integrity_2,Num_Integrity_3,Num_Competence_1,Num_Competence_2,Num_Competence_3,Num_Competence_4,Num_Usability_1,Num_Usability_2,Num_Usability_3,Vis_Benevolence_1,Vis_Benevolence_2,Vis_Benevolence_3,Vis_Integrity_1,Vis_Integrity_2,Vis_Integrity_3,Vis_Competence_1,Vis_Competence_2,Vis_Competence_3,Vis_Competence_4,Vis_Usability_1,Vis_Usability_2,Vis_Usability_3,Age,Gender,Education_Level,Usage_Frequency,LLM_Experience_Self_Report,Frequency_of_AI_Errors,General_AI_Trust,Want_Indicators_YesNo
R_2rrPOOf913Wv4TD,2,3,4,3,5,6,3,3,3,2,3,2,2,6,6,3,6,6,5,6,6,5,6,6,6,6,3,3,3,3,5,3,5,2,3,3,3,3,2,46,Male,Bachelor's degree,Daily,7,6,5,Yes
R_8EWGaJwy4zMkAxB,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,7,7,6,7,7,7,7,7,6,6,5,6,5,3,3,4,3,4,4,3,3,4,3,43,Female,Bachelor's degree,Daily,7,5,8,Yes
R_7aeWYYFXOqAIrPH,5,5,4,6,6,5,4,6,5,5,6,6,7,4,6,4,6,6,5,5,5,6,5,7,6,6,5,5,3,4,4,4,4,3,3,4,2,4,3,62,Female,High School,Daily,8,2,7,Yes
R_8EhXBEGgFEzp9QJ,3,3,3,3,3,3,3,3,2,3,3,1,5,3,3,3,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,5,4,5,3,5,3,5,29,Female,Master's degree or higher,Daily,8,7,5,Yes
R_8gxkCwwnp9F2d9f,5,4,4,5,5,4,2,3,4,4,2,2,3,4,6,4,6,7,6,6,7,6,6,7,7,7,4,4,4,6,5,6,6,6,5,5,6,5,6,31,Female,Vocational training,Daily,7,5,5,Yes
R_2DNStVub90FC4cf,4,4,4,6,6,5,5,5,5,5,6,5,4,6,7,5,6,6,6,6,5,6,6,6,6,6,6,7,5,6,6,6,6,5,6,6,6,6,6,38,Male,Master's degree or higher,Daily,8,5,7,Yes
R_202ysd6n1NdKbE9,6,6,4,6,7,6,7,6,6,6,7,7,6,5,6,4,6,6,6,5,5,5,5,6,5,5,5,6,4,6,6,6,6,6,5,7,5,5,5,62,Male,High School,About once a week,6,3,8,Yes
R_3L298ickdoc4Twm,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,5,4,35,Female,High School,Several times a week,8,5,5,Yes
R_70Pci7pUNT29jcu,6,6,6,6,6,6,6,5,5,6,5,6,7,5,5,5,6,6,7,6,7,6,6,5,5,6,6,6,6,7,5,5,7,5,6,7,4,3,3,45,Male,Master's degree or higher,Several times a week,7,3,8,Indifferent
R_2opgICLOcCDcNUE,6,6,6,6,5,5,5,5,5,5,4,5,6,5,6,5,6,5,5,5,6,5,5,6,6,5,5,5,5,5,6,4,4,5,5,5,3,4,5,21,Male,Bachelor's degree,Rarely,3,4,3,Yes
R_2g0wPmVT1ON94Gd,5,5,5,3,5,6,5,6,6,4,6,6,6,6,6,6,6,6,6,7,6,6,7,6,6,7,5,5,6,6,6,5,6,4,6,6,6,6,6,62,Male,Bachelor's degree,Several times a week,7,2,8,Yes
R_6umde64rswM6p7H,7,6,5,7,6,6,5,7,5,5,6,6,6,6,6,6,7,7,6,6,6,6,6,7,7,7,6,6,6,4,4,5,5,5,5,5,5,6,5,53,Female,Bachelor's degree,Daily,6,4,7,Yes
R_3YJSZIuXUASnl7m,5,5,6,6,7,6,6,6,6,5,7,6,6,4,3,3,5,5,5,5,5,5,5,6,5,6,5,4,4,6,5,6,6,5,5,5,5,3,6,49,Female,Bachelor's degree,Daily,7,8,7,Yes
R_3hEX62R9TJZP9nB,6,6,4,6,6,4,6,6,6,6,6,6,7,5,6,5,5,5,6,6,5,6,6,5,5,6,4,6,4,6,6,4,7,7,6,7,7,7,7,36,Male,Master's degree or higher,Daily,9,5,8,Indifferent
R_1QFUb4Q3aCBqw9R,6,6,5,7,6,6,7,6,7,6,6,7,7,5,7,7,7,6,6,6,6,6,6,6,6,6,4,5,4,5,3,5,4,5,5,4,5,3,3,44,Male,Master's degree or higher,Several times a week,7,4,7,Yes
R_6U6eTHN2QnKTWw5,6,5,5,6,6,6,6,6,6,6,7,7,7,5,5,5,6,6,5,6,5,5,5,6,3,5,6,5,5,6,6,6,6,6,6,5,6,6,5,19,Female,High School,Several times a week,6,3,6,Indifferent
