StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q59,Q60,QID99,Q6_1,Q9,Q52,Q53,Q54_NPS_GROUP,Q54,Q56_NPS_GROUP,Q56,Q57_NPS_GROUP,Q57,Q11,Q51_1,Q12_1,Q13_1,Q18_1,Q17_1,Q16_1,Q24_1,Q15_1,Q14_1,Q19_1,Q20_1,Q21_1,Q23_1,Q78,Q22_1,Q38,Q39_1,Q40_1,Q41_1,Q42_1,Q43_1,Q44_1,Q45_1,Q46_1,Q47_1,Q48_1,Q61_1,Q62_1,Q77,Q63_1,Q50,Q51_1,Q52_1,Q53_1,Q54_1,Q55_1,Q56_1,Q57_1,Q58_1,Q59_1,Q60_1,Q64_1,Q65_1,Q75,Q66_1,Q64,Q61,Q62,Q63,order,order_label
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Do you agree to participate in this study?,"How many LLM assistant interfaces will you interact with, and what is different about them?",Prolific ID (Only required when accessing via prolific.com),What is your age? - Alter,What is your gender?,What is the highest level of education you have completed?,"How often do you use large language models (e.g. ChatGPT, Gemini)?",How experienced do you consider yourself in using LLMs? - Group,How experienced do you consider yourself in using LLMs?,How often have you experienced a language model giving incorrect or misleading answers - Group,How often have you experienced a language model giving incorrect or misleading answers,Do you generally trust the answers provided by large language models? - Group,Do you generally trust the answers provided by large language models?,Which uncertainty representation format did you experience?,"In order to prove that you are reading questions attentively, please select “Strongly agree” here - Choose:",I believe that the assistant would act in my best interest when communicating uncertainty - Choose:,"If I required help, the assistant would do its best to help me - Choose:","The assistant is interested in my well-being, not just its own - Choose:",The assistant is truthful in communicating uncertainty levels - Choose:,I would characterize the assistant as honest about its level of uncertainty - Choose:,The assistant would keep its commitments in providing uncertainty levels - Choose:,The assistant is competent and effective in providing uncertainty communication - Choose:,The assistant performs its role of giving uncertainty levels very well - Choose:,"Overall, the assistant is a capable and proficient assistant for uncertainty representation - Choose:","In general, the assistant is very knowledgeable about the provided uncertainty - Choose:",The way uncertainty was presented helps me to be more effective in evaluating and using the answer - Choose:,I am satisfied with this uncertainty representation - Choose:,Comments or suggestions,I learned to use/interpret the uncertainty representation quickly - Choose:,Which uncertainty representation format did you experience?,I believe that the assistant would act in my best interest when communicating uncertainty - Choose:,"If I required help, the assistant would do its best to help me - Choose:","The assistant is interested in my well-being, not just its own - Choose:",The assistant is truthful in communicating uncertainty levels - Choose:,I would characterize the assistant as honest about its level of uncertainty - Choose:,The assistant would keep its commitments in providing uncertainty levels - Choose:,The assistant is competent and effective in providing uncertainty communication - Choose:,The assistant performs its role of giving uncertainty levels very well - Choose:,"Overall, the assistant is a capable and proficient assistant for uncertainty representation - Choose:","In general, the assistant is very knowledgeable about the provided uncertainty - Choose:",The way uncertainty was presented helps me to be more effective in evaluating and using the answer - Choose:,I am satisfied with this uncertainty representation - Choose:,Comments or suggestions,I learned to use/interpret the uncertainty representation quickly - Choose:,Which uncertainty representation format did you experience?,I believe that the assistant would act in my best interest when communicating uncertainty - Choose:,"If I required help, the assistant would do its best to help me - Choose:","The assistant is interested in my well-being, not just its own - Choose:",The assistant is truthful in communicating uncertainty levels - Choose:,I would characterize the assistant as honest about its level of uncertainty - Choose:,The assistant would keep its commitments in providing uncertainty levels - Choose:,The assistant is competent and effective in providing uncertainty communication - Choose:,The assistant performs its role of giving uncertainty levels very well - Choose:,"Overall, the assistant is a capable and proficient assistant for uncertainty representation - Choose:","In general, the assistant is very knowledgeable about the provided uncertainty - Choose:",The way uncertainty was presented helps me to be more effective in evaluating and using the answer - Choose:,I am satisfied with this uncertainty representation - Choose:,Comments or suggestions,I learned to use/interpret the uncertainty representation quickly - Choose:,Would you like to have uncertainty indicators in LLM interfaces (ChatGPT/Gemini...)?,Which format would you prefer for everyday use in terms of usability and why?,Which format would you prefer for everyday use in terms of trustworthiness and why?,Does uncertainty representation make you more confident in using LLMs?,order,order_label
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80""}","{""ImportId"":""QID99_TEXT""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID9""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74_NPS_GROUP""}","{""ImportId"":""QID74""}","{""ImportId"":""QID76_NPS_GROUP""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77_NPS_GROUP""}","{""ImportId"":""QID77""}","{""ImportId"":""QID11""}","{""ImportId"":""QID71_14""}","{""ImportId"":""QID12_14""}","{""ImportId"":""QID13_14""}","{""ImportId"":""QID18_14""}","{""ImportId"":""QID17_14""}","{""ImportId"":""QID16_14""}","{""ImportId"":""QID24_14""}","{""ImportId"":""QID15_14""}","{""ImportId"":""QID14_14""}","{""ImportId"":""QID19_14""}","{""ImportId"":""QID20_14""}","{""ImportId"":""QID21_14""}","{""ImportId"":""QID23_14""}","{""ImportId"":""QID98_TEXT""}","{""ImportId"":""QID22_14""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39_14""}","{""ImportId"":""QID40_14""}","{""ImportId"":""QID41_14""}","{""ImportId"":""QID42_14""}","{""ImportId"":""QID43_14""}","{""ImportId"":""QID44_14""}","{""ImportId"":""QID45_14""}","{""ImportId"":""QID46_14""}","{""ImportId"":""QID47_14""}","{""ImportId"":""QID48_14""}","{""ImportId"":""QID61_14""}","{""ImportId"":""QID62_14""}","{""ImportId"":""QID97_TEXT""}","{""ImportId"":""QID63_14""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51_14""}","{""ImportId"":""QID52_14""}","{""ImportId"":""QID53_14""}","{""ImportId"":""QID54_14""}","{""ImportId"":""QID55_14""}","{""ImportId"":""QID56_14""}","{""ImportId"":""QID57_14""}","{""ImportId"":""QID58_14""}","{""ImportId"":""QID59_14""}","{""ImportId"":""QID60_14""}","{""ImportId"":""QID64_14""}","{""ImportId"":""QID65_14""}","{""ImportId"":""QID95_TEXT""}","{""ImportId"":""QID66_14""}","{""ImportId"":""QID84""}","{""ImportId"":""QID81_TEXT""}","{""ImportId"":""QID82_TEXT""}","{""ImportId"":""QID83_TEXT""}","{""ImportId"":""order""}","{""ImportId"":""order_label""}"
2025-12-25 16:41:26,2025-12-25 16:59:18,IP Address,100,1072,True,2025-12-25 16:59:19,R_5U2EeCThmF4rYul,anonymous,EN-GB,"Yes, I agree",Three versions; the uncertainty is shown in different formats,5f66893ee1a5b726ff88b66f,39,Male,High School,Several times a week,Passive,7,Detractor,3,Passive,7,Verbal,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,,Neither Agree nor Disagree,Numerical/Percentage,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,,Strongly Agree,Visual/Colour,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,,Somewhat Agree,Yes,Numerical because it is very easy to see and understand,Numerical because I can see a number and that helps me understand how confident the model is,Yes so I know if they know what they are talking about.,2,V_Vi_N
2025-12-25 16:20:28,2025-12-25 17:01:11,IP Address,100,2442,True,2025-12-25 17:01:12,R_3fdnhJVve8QWaGp,anonymous,EN-GB,"Yes, I agree",Three versions; the uncertainty is shown in different formats,67e1da8a432675c0e850e8d1,42,Female,Master's degree or higher,Daily,Detractor,6,Detractor,1,Passive,8,Verbal,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,I am satisfied,Agree,Numerical/Percentage,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,It is very nice,Agree,Visual/Colour,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,It is very swift and perfect,Agree,Yes,Uncertainty because it was so swift and not biased,uncertainty indicators,"Of course, so well",6,Vi_N_V
2025-12-25 16:49:07,2025-12-25 17:10:26,IP Address,100,1278,True,2025-12-25 17:10:26,R_2xBz6SiN6okKhqN,anonymous,EN-GB,"Yes, I agree",Three versions; the uncertainty is shown in different formats,63d50bed33ba8cb1b9794938,30,Male,High School,Several times a week,Detractor,5,Detractor,3,Detractor,5,Verbal,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,"prefer this to no uncertainty expression, but prefer numerical, or even visual, for the clarity ",Somewhat Agree,Numerical/Percentage,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,,Agree,Numerical/Percentage,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,"preferred numerical as it's capable of a wider range and more specific, fine-tuned answers",Somewhat Agree,Yes,"numerical as it's the most clear and precise ","numerical as it's the most clear and precise ","it does, feels like truth is the most important, rather than being right",4,N_Vi_V
2025-12-25 17:11:48,2025-12-25 17:20:10,IP Address,100,501,True,2025-12-25 17:20:10,R_8X34XcVkgQSgQKZ,anonymous,EN-GB,"Yes, I agree",Three versions; the uncertainty is shown in different formats,672b44479e02ee677d857844,38,Female,Master's degree or higher,Several times a week,Detractor,4,Detractor,6,Detractor,5,Verbal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Somewhat Agree,Strongly Agree,Disagree,none,Agree,Numerical/Percentage,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Agree,none,Agree,Verbal,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Somewhat Disagree,Agree,Agree,Agree,Somewhat Agree,Disagree,None,Somewhat Agree,No,I prefer to use Chatgpt because I personally find it a bit more reliable than Gemini,"Chatgpt because I find it more trustworthy ",Yes a little,6,Vi_N_V
2025-12-25 17:01:18,2025-12-25 17:34:26,IP Address,100,1987,True,2025-12-25 17:34:27,R_25tPfpmkCYOtW7I,anonymous,EN-GB,"Yes, I agree",Three versions; the uncertainty is shown in different formats,647869e6f69318bacc341d53,51,Female,Bachelor's degree,Several times a week,Detractor,6,Detractor,4,Passive,7,Verbal,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,,Somewhat Agree,Numerical/Percentage,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,,Agree,Visual/Colour,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,,Somewhat Agree,Yes,numerical as you can quickly see the accuracy level,the numerical as they are more easy to interpret and seem more accurate,yes as it gives you an indication as to whether you need to verify the information,3,N_V_Vi
2025-12-25 17:22:01,2025-12-25 17:39:09,IP Address,100,1028,True,2025-12-25 17:39:10,R_2ow2QrLPyO62AHt,anonymous,EN-GB,"Yes, I agree",Three versions; the uncertainty is shown in different formats,631610af8e747093cd90e00d,41,Female,High School,Several times a week,Detractor,5,Promoter,9,Detractor,1,Verbal,Strongly Agree,Somewhat Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,,Strongly Agree,Numerical/Percentage,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Agree,Neither Agree nor Disagree,Agree,Somewhat Agree,,Strongly Agree,Visual/Colour,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,,Strongly Agree,Yes,Colours give the idea of the confidence level without relying on verbal interpretation,"Numerical, as it provides a concrete level of certainty","Yes, because it gives me a better idea of how trustworthy the response is to me",1,V_N_Vi
2025-12-25 17:34:07,2025-12-25 17:50:14,IP Address,100,966,True,2025-12-25 17:50:15,R_2rUNwFNHUVDEK9c,anonymous,EN-GB,"Yes, I agree",Three versions; the uncertainty is shown in different formats,6551469abe377d3646c6cd6e,24,Male,Bachelor's degree,Several times a week,Detractor,4,Detractor,6,Detractor,4,Numerical/Percentage,Strongly Agree,Agree,Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,,Somewhat Agree,Visual/Colour,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,,Somewhat Agree,Verbal,Neither Agree nor Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,,Somewhat Agree,Yes,to give an indicator as it would tell me if i should trust it more or not.,the same format as it is productive and can help a lot more than without,"yes, it improves effectiveness and improves work productiveness",5,Vi_V_N
2025-12-25 17:37:57,2025-12-25 17:59:49,IP Address,100,1311,True,2025-12-25 17:59:50,R_8Gwe1SnSxOwAEPj,anonymous,EN-GB,"Yes, I agree",Three versions; the uncertainty is shown in different formats,651abcc13ecbad9f2062ac4f,58,Male,High School,Daily,Detractor,5,Detractor,3,Passive,7,Verbal,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,,Somewhat Agree,Verbal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,,Agree,Verbal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Yes,verbal communication,a percentage of certainty,"middle of the road, as not sure if I am more or less confident.",4,N_Vi_V
2025-12-25 17:52:02,2025-12-25 18:16:36,IP Address,100,1473,True,2025-12-25 18:16:36,R_3udFPkMZGtp83jX,anonymous,EN-GB,"Yes, I agree",Three versions; the uncertainty is shown in different formats,615e420a23219efe3427a367,69,Female,Bachelor's degree,Several times a week,Passive,8,Detractor,0,Passive,8,Numerical/Percentage,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,None,Strongly Agree,Numerical/Percentage,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"There was text, color and percentage listed in this response.",Strongly Agree,Visual/Colour,Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Hard to know exactly what percentages were represented by the blinking colors.,Neither Agree nor Disagree,Yes,"Percentages, because I feel that this would give the most accurate representation quickly.",The numeric uncertainty was the most trustworthy for me because I knew exactly how certain the LLM was of the answer. Having the verbal uncertainty text just bolded didn't tell me much and the blinking color of the visual uncertainty were not precise.,Yes,3,N_V_Vi
2025-12-25 17:53:54,2025-12-25 18:17:40,IP Address,100,1425,True,2025-12-25 18:17:40,R_2tvHHQLThDbiygF,anonymous,EN-GB,"Yes, I agree",Three versions; the uncertainty is shown in different formats,672e524cbe4d6b938fc557b1,34,Female,Bachelor's degree,Daily,Detractor,5,Detractor,4,Detractor,5,Numerical/Percentage,Strongly Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,,Neither Agree nor Disagree,Visual/Colour,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,,Somewhat Disagree,Numerical/Percentage,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,,Neither Agree nor Disagree,Yes,Prompts. This will help the LLM interfaces,Direct prompts and consistency. It will give more information and ideas,More likely,5,Vi_V_N
2025-12-25 18:21:29,2025-12-25 18:26:11,IP Address,100,281,True,2025-12-25 18:26:12,R_2obDGhYFrHsv1N7,anonymous,EN-GB,"Yes, I agree",Three versions; the uncertainty is shown in different formats,62a1fd297768ca1c93288d11,37,Male,Master's degree or higher,Rarely,Detractor,4,Passive,7,Detractor,2,Verbal,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,,Disagree,Numerical/Percentage,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,,Somewhat Agree,Visual/Colour,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,,Agree,Yes,Percentage - it's clearer,Percentage - seems more transparent,No - doesn't eliminate environmental concerns,3,N_V_Vi
2025-12-25 18:01:25,2025-12-25 18:34:01,IP Address,100,1956,True,2025-12-25 18:34:02,R_7HXKO5ToTOmrsS5,anonymous,EN-GB,"Yes, I agree",Three versions; the uncertainty is shown in different formats,650b03136ab3d4c832d98b71,32,Male,Bachelor's degree,Several times a week,Detractor,5,Detractor,4,Detractor,6,Verbal,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Using normal words to show doubt makes the advice feel more natural and honest.,Strongly Agree,Numerical/Percentage,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,The percentage score made it very easy to see exactly how much I should trust each answer at a glance.,Strongly Agree,Visual/Colour,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,"The assistant used words like ""maybe"" or ""could"" to clearly show when it was unsure, which helped me trust the information more.",Agree,Yes,I like using words because it feels like a normal chat. It is easy to understand without extra clutter on the screen.,Percentages are great because they show exactly how much I should trust the answer. it feels more honest when the AI gives me a clear score.,It helps me trust the AI more because I  know when I should be careful. I don't have to guess as much if the information is right or wrong.,6,Vi_N_V
2025-12-25 18:28:12,2025-12-25 18:51:58,IP Address,100,1425,True,2025-12-25 18:51:59,R_8maGdzgn5YVBJoZ,anonymous,EN-GB,"Yes, I agree",Three versions; the uncertainty is shown in different formats,6883a8504728f57551e8c82b,42,Male,Master's degree or higher,Several times a week,Passive,8,Passive,7,Detractor,6,Verbal,Strongly Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,"The verbal explanation was easy to understand, but it would help if uncertainty was stated more explicitly or consistently.",Somewhat Agree,Verbal,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,,Somewhat Agree,Verbal,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,,Agree,Yes,"Verbal, because it feels natural to read and easy to understand without extra effort.","Verbal, because explanations in words make the limits and reasoning feel more transparent and human.",Yes,1,V_N_Vi
2025-12-25 18:25:05,2025-12-25 19:03:35,IP Address,100,2310,True,2025-12-25 19:03:36,R_5BVlkMUPfJXCzc7,anonymous,EN-GB,"Yes, I agree",Three versions; the uncertainty is shown in different formats,683cbc0c0c2d722831c8bc17,49,Female,Master's degree or higher,Daily,Promoter,10,Detractor,1,Passive,8,Verbal,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Agree,Numerical/Percentage,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Agree,Visual/Colour,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Yes,"I prefer Numeric LLM Uncertainty Assistant because I trust numbers more ",I'd prefer the numeric assistant because the numbers make it seem more reliable,Yes,2,V_Vi_N
2025-12-25 18:53:31,2025-12-25 19:12:47,IP Address,100,1155,True,2025-12-25 19:12:47,R_2W5G99t42XYCff3,anonymous,EN-GB,"Yes, I agree",Three versions; the uncertainty is shown in different formats,6883a8504728f57551e8c82b,42,Male,Master's degree or higher,Several times a week,Passive,8,Passive,7,Detractor,6,Verbal,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,,Agree,Numerical/Percentage,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"The percentage indicator was easy to notice and quick to interpret, but a short explanation of what the number represents would increase clarity.",Agree,Visual/Colour,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Agree,Yes,"Verbal, because it fits naturally into reading the answer and does not require extra interpretation or mental effort.","Verbal, because written explanations make it easier to understand limits, assumptions, and reasoning behind the answer.",Yes,4,N_Vi_V
2025-12-25 18:58:08,2025-12-25 19:21:04,IP Address,100,1376,True,2025-12-25 19:21:05,R_72FMSR5hyIu5SWb,anonymous,EN-GB,"Yes, I agree",Three versions; the uncertainty is shown in different formats,610ab785360bcd633fb5b0d6,23,Female,Bachelor's degree,Daily,Passive,7,Detractor,6,Passive,7,Verbal,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Numerical/Percentage,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,"It would be helpful if the AI showed a small disclaimer explaining how they came up with the percentage. ",Agree,Visual/Colour,Somewhat Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,"I don't think the colored circles beaming behind the AI profile were necessary, there should be a different visual representation, with more colors and a key for the interpretations. ",Somewhat Agree,Yes,"The numeric one makes the most sense because it reduces words and length of the answer, making it easier for the user to read. The number makes it easier for the user to digest and understand the percentage of how accurate/inaccurate an answer is. ","The verbal one sticks out in terms of trustworthiness since the AI took its time to provide a detailed answer with words that help the user understand the uncertainty of an answer. ","Yes, because it allows me to either accept an answer fully if the uncertainty level is low, or it will make me aware that I might need to research more to get a better answer.",5,Vi_V_N
2025-12-25 19:13:34,2025-12-25 19:31:24,IP Address,100,1069,True,2025-12-25 19:31:24,R_2rrPOOf913Wv4TD,anonymous,EN-GB,"Yes, I agree",Three versions; the uncertainty is shown in different formats,58c8497430c4cf0001ce9caf,46,Male,Bachelor's degree,Daily,Passive,7,Detractor,6,Detractor,5,Verbal,Strongly Agree,Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,,Disagree,Numerical/Percentage,Agree,Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,,Agree,Visual/Colour,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,,Disagree,Yes,Numerical / percentage,numerical and percentage based as they are easier to grasp,yes,1,V_N_Vi
2025-12-25 19:23:48,2025-12-25 19:46:33,IP Address,100,1364,True,2025-12-25 19:46:33,R_8EWGaJwy4zMkAxB,anonymous,EN-GB,"Yes, I agree",Three versions; the uncertainty is shown in different formats,5e9ffa9ee172201b04f1a4c6,43,Female,Bachelor's degree,Daily,Passive,7,Detractor,5,Passive,8,Verbal,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,It was very helpful and honest in its answers,Agree,Numerical/Percentage,Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,This was the clearest of all models,Agree,Visual/Colour,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,"It only expressed uncertainty on the last answer, where it admitted it didn’t know for certain",Somewhat Disagree,Yes,I prefer the numeric model. I think it is much clearer to understand.,"Numeric as it seems more definite and sure ","Yes, I never really consider that it might uncertain. However, it is useful to know.",5,Vi_V_N
